sector,years_in_operation,num_employees,loan_amount_kes,loan_term_months,interest_rate_pct,mpesa_avg_monthly_inflow,mpesa_avg_monthly_outflow,mpesa_txn_count_monthly,mpesa_savings_ratio,electricity_payment_delays,electricity_bill_avg,water_bill_avg,social_media_active,online_ads_spend_kes,avg_monthly_data_spend,avg_monthly_airtime_spend,pos_monthly_sales,pos_txn_volume,loan_default,dataset_source
Retail,8.8,5,497236,18,20.88,78447,57368,813,0.2687,0,9213,1214,0,0,3325,2922,91711,313,0,Kenya_SME
Transport,8.6,1,64228,36,24.64,133923,39859,97,0.7024,0,4136,812,0,0,1843,1197,284975,954,0,Kenya_SME
Services,12.2,10,135798,18,17.9,25989,18302,143,0.2958,0,8008,2605,1,1855,1046,2281,123459,209,0,Kenya_SME
Wholesale,2.9,2,1233804,36,22.73,54695,25883,276,0.5268,6,3269,2803,1,21414,1861,401,134295,334,0,Kenya_SME
Informal,6.2,1,274698,12,15.99,68670,42641,217,0.379,5,2165,1446,1,2600,1212,1135,265263,853,0,Kenya_SME
Retail,2.1,4,230212,36,12.94,11016,7490,179,0.3201,6,3257,2817,1,1206,5121,1888,113452,350,0,Kenya_SME
Retail,3.9,7,821733,12,27.72,14646,14034,172,0.0418,4,5764,317,0,0,2208,1343,63726,133,1,Kenya_SME
Retail,15.1,7,453598,12,25.26,22490,11493,211,0.4889,7,6692,598,1,4506,2272,668,21860,66,0,Kenya_SME
Services,2.3,13,2041691,48,20.96,29891,17466,153,0.4157,2,12721,3334,1,730,2793,492,20265,96,1,Kenya_SME
ICT,2.1,1,199675,24,17.54,44340,15279,608,0.6554,4,3887,1626,0,0,900,666,46403,226,1,Kenya_SME
Retail,0.7,1,1813724,6,15.71,34255,23331,100,0.3189,2,10775,5072,1,898,605,605,65412,102,0,Kenya_SME
ICT,2.2,3,412543,12,17.16,46247,17958,537,0.6117,2,1494,3153,1,487,11354,761,584920,941,0,Kenya_SME
Manufacturing,0.5,1,992790,12,30.52,38848,31733,41,0.1832,7,5979,2008,0,0,1216,1329,114232,155,1,Kenya_SME
Construction,12,2,140296,24,20.34,114106,109546,332,0.04,2,5244,424,0,0,1106,1668,34498,61,0,Kenya_SME
Manufacturing,6.1,3,288706,36,27.51,105570,60890,421,0.4232,4,7984,8112,0,0,1838,659,59325,97,0,Kenya_SME
Informal,3.8,2,768133,24,18.65,29664,9355,495,0.6846,4,5399,1547,0,0,2438,469,49488,78,0,Kenya_SME
Services,4.7,7,351075,60,23.9,31097,11105,103,0.6429,3,1792,2620,1,4584,2037,965,58290,117,0,Kenya_SME
Informal,0.5,3,253223,18,21.12,7340,5481,94,0.2533,6,9712,1833,1,48506,1017,875,244992,365,1,Kenya_SME
Wholesale,5.1,6,1035091,24,24.52,4820,3773,236,0.2172,2,18404,3583,0,0,1888,714,37968,69,1,Kenya_SME
Manufacturing,6.7,5,344882,24,21.84,25299,18771,180,0.2581,6,2639,4613,0,0,1203,1371,43184,177,0,Kenya_SME
ICT,8.7,1,318056,12,18.09,66244,13249,317,0.8,1,3369,1652,1,6644,971,1095,706316,910,0,Kenya_SME
Services,0.5,6,361611,18,12.42,20326,9371,47,0.5389,2,2977,1456,0,0,724,1060,4552,16,1,Kenya_SME
Agribusiness,2.7,2,532395,36,19.22,125030,25006,172,0.8,3,3339,2244,1,850,1349,2145,209865,660,0,Kenya_SME
Services,21.6,6,233178,18,11.6,106374,67417,290,0.3662,0,1907,539,0,0,4342,1007,192189,408,0,Kenya_SME
Hospitality,6.2,6,301081,48,23.21,148933,73652,138,0.5055,0,4069,4178,1,11825,2133,674,35149,76,0,Kenya_SME
Transport,2.6,2,1785679,18,23.99,42759,21246,203,0.5031,2,2003,1787,1,1856,1031,734,99061,157,0,Kenya_SME
Retail,9.8,2,165363,6,17.82,105000,83792,385,0.202,8,120000,2113,1,1979,876,682,45025,76,0,Kenya_SME
ICT,0.5,4,1661786,18,14.3,31038,10055,222,0.676,4,5406,4457,0,0,2504,984,194484,682,1,Kenya_SME
Manufacturing,4.6,2,406193,18,22.19,34291,25293,126,0.2624,1,7843,2568,0,0,3208,1060,68665,285,1,Kenya_SME
Retail,3.2,19,550023,12,19.38,19104,7974,117,0.5825,8,1667,1064,0,0,4870,1320,3212,6,1,Kenya_SME
Retail,3.3,4,965139,12,21.17,229114,188156,127,0.1788,3,4572,1730,0,0,2317,1131,441339,761,0,Kenya_SME
Retail,20.3,1,187128,36,19.26,97680,71826,265,0.2647,4,3858,1141,0,0,882,2235,6933,19,1,Kenya_SME
Wholesale,18.8,29,67789,24,24.33,22867,11673,220,0.4895,6,14307,1600,0,0,1149,763,37473,70,0,Kenya_SME
Agribusiness,6.9,5,130538,12,20.54,5363,3150,114,0.4125,5,2226,782,0,0,1111,760,54379,132,1,Kenya_SME
Retail,3.2,3,336322,12,17.44,23746,11732,814,0.5059,0,8143,2131,0,0,1607,929,29569,81,1,Kenya_SME
Manufacturing,6,17,1773943,12,18.78,71384,39805,337,0.4424,0,5791,292,0,0,1130,1152,107877,193,0,Kenya_SME
Hospitality,2.3,5,757941,36,13.65,39702,27385,323,0.3102,5,1453,1736,0,0,637,2936,162847,393,0,Kenya_SME
Wholesale,6.1,4,328720,12,16.69,564123,442025,268,0.2164,4,1983,707,1,7625,1084,1172,455631,1238,0,Kenya_SME
Services,4.4,1,649065,12,10.57,112296,44410,428,0.6045,1,6887,517,1,5250,855,822,81914,166,1,Kenya_SME
Transport,0.6,1,2043837,18,23.7,104213,28752,554,0.7241,0,4220,1322,1,2321,1627,1162,60937,255,0,Kenya_SME
Retail,4.2,13,430791,18,16.05,27459,14804,454,0.4608,2,2139,1665,0,0,3015,724,235142,685,1,Kenya_SME
Hospitality,2.3,6,1922048,36,8.23,97001,48919,283,0.4957,1,5013,1228,1,2438,4137,2195,583358,1576,0,Kenya_SME
Retail,19.6,3,87434,36,18,46401,24199,274,0.4785,4,7203,1427,0,0,1679,864,131078,384,0,Kenya_SME
Retail,5.7,3,141286,24,18.48,72266,21733,216,0.6993,5,771,947,0,0,524,966,145362,455,1,Kenya_SME
Manufacturing,0.9,6,806937,36,17.66,117004,92642,234,0.2082,3,10575,1457,1,3518,1257,1522,425198,879,0,Kenya_SME
Retail,1.2,8,907986,24,19.11,289727,234289,325,0.1913,3,2917,366,0,0,1089,997,97029,165,0,Kenya_SME
Retail,5.9,1,320619,24,27.23,17039,7430,97,0.5639,7,6741,1198,1,1330,1766,1067,141567,424,1,Kenya_SME
Transport,5.9,5,161589,12,20.78,67740,27729,488,0.5906,2,5988,4536,1,1366,6748,523,119558,197,0,Kenya_SME
Manufacturing,7.9,7,909786,12,17.8,80063,72150,376,0.0988,1,15543,1822,1,3293,2319,2286,331205,607,0,Kenya_SME
Retail,0.5,3,687001,24,17.69,578990,429100,545,0.2589,5,3570,1613,0,0,4926,1087,201610,325,0,Kenya_SME
Wholesale,4.4,1,617633,6,12.4,39147,24788,122,0.3668,2,866,585,1,4621,4042,761,56863,466,1,Kenya_SME
Transport,1.3,2,123529,48,23.77,228363,166189,259,0.2723,4,1642,3145,0,0,1277,3113,252164,338,0,Kenya_SME
Hospitality,3.8,1,1462108,12,24.57,40958,20913,107,0.4894,0,1348,818,0,0,1710,2216,179791,283,0,Kenya_SME
Retail,9.7,13,1104348,60,12.69,44708,35556,311,0.2047,1,2566,1440,0,0,1974,1743,37572,55,0,Kenya_SME
Hospitality,20.2,1,4106848,18,18.54,50893,30503,180,0.4006,6,9240,2504,1,2466,1189,851,118572,284,1,Kenya_SME
Transport,5.8,1,728519,36,8.5,26363,16342,194,0.3801,4,2149,5214,1,859,1455,723,430202,468,0,Kenya_SME
Services,2.4,2,1570081,36,23.46,32954,14419,188,0.5624,5,5028,1772,0,0,2265,1361,395335,501,0,Kenya_SME
Agribusiness,4.5,9,934326,18,21.79,125656,83076,92,0.3389,3,11084,1657,0,0,1625,847,66687,346,0,Kenya_SME
Manufacturing,9,10,1108023,12,12.64,110665,75897,463,0.3142,2,1663,2854,1,4608,2159,1529,39992,163,1,Kenya_SME
Retail,1.6,3,3091957,24,6.82,569565,319955,738,0.4382,0,11708,1636,1,6242,2694,1629,634757,1656,0,Kenya_SME
Transport,7.5,2,428153,24,14.94,16303,11589,73,0.2892,7,4963,2162,0,0,822,465,101145,154,1,Kenya_SME
Transport,5.9,3,181397,24,18.65,116748,56496,151,0.5161,2,1868,4462,0,0,818,1105,247852,897,0,Kenya_SME
Retail,1.7,15,348865,24,17.78,43609,28430,286,0.3481,9,3144,1926,0,0,2431,888,54606,106,1,Kenya_SME
Agribusiness,5,1,268236,48,19.22,48549,24298,166,0.4995,3,1158,1415,1,14151,2788,1344,264318,357,0,Kenya_SME
Hospitality,7.7,1,3410160,18,17.71,569557,118672,236,0.7916,1,1727,1650,1,2044,1984,961,4722,8,0,Kenya_SME
Services,8.5,40,280231,24,19.55,34426,20848,344,0.3944,1,10088,1380,1,7486,578,1507,73122,96,0,Kenya_SME
Services,2.7,13,830473,18,12.58,121483,83896,903,0.3094,2,7730,1805,1,945,4479,981,172954,268,0,Kenya_SME
Construction,0.5,1,264781,60,17.03,95471,19094,396,0.8,0,4459,1840,0,0,1327,1282,130620,216,0,Kenya_SME
Agribusiness,3.1,75,165884,24,10.31,134365,96152,454,0.2844,1,12654,2493,1,4960,20277,1092,171836,479,0,Kenya_SME
Wholesale,1.7,6,296092,18,19.31,12097,6684,120,0.4474,5,5520,3096,0,0,730,425,55642,194,1,Kenya_SME
ICT,14.2,5,1188493,48,16.68,91606,18321,1020,0.8,0,1522,2166,1,8622,1353,1044,415736,911,0,Kenya_SME
Agribusiness,30.5,17,243437,18,17.1,91069,79653,464,0.1253,3,3108,1913,0,0,396,1616,195876,388,0,Kenya_SME
Agribusiness,13.7,2,686506,12,21.35,62853,12571,160,0.8,0,7376,1074,1,7073,1634,995,196793,496,0,Kenya_SME
Hospitality,0.5,2,208295,24,18.86,69021,67228,105,0.026,0,6809,1158,0,0,1241,452,21882,67,1,Kenya_SME
Retail,2.2,4,76519,18,15.6,44852,33781,148,0.2468,4,4794,1159,1,1701,861,737,88869,422,1,Kenya_SME
Retail,5.3,7,536315,18,20.41,57638,41916,85,0.2728,3,10260,6492,1,9939,2543,929,46158,264,0,Kenya_SME
Manufacturing,11.4,6,1643203,36,12.75,64785,45706,119,0.2945,2,17759,7617,0,0,2399,908,337422,720,1,Kenya_SME
ICT,2.2,5,457736,36,10.59,101669,77345,150,0.2392,3,12895,1384,1,4234,2570,910,43578,83,0,Kenya_SME
Manufacturing,2.2,3,755085,18,16.39,275465,85050,359,0.6912,2,5855,1359,0,0,1773,1120,154296,903,0,Kenya_SME
Agribusiness,18.3,5,73640,24,16.37,29220,16324,180,0.4413,4,8824,4154,0,0,847,614,108640,197,1,Kenya_SME
Manufacturing,9.8,6,2226819,12,11.29,118609,116530,284,0.0175,2,14980,5096,1,1873,2782,1970,516478,2183,0,Kenya_SME
Manufacturing,1.9,4,301975,12,15.33,114455,89536,139,0.2177,3,5197,1606,0,0,1855,989,155642,339,0,Kenya_SME
Transport,0.5,3,2620830,12,16.96,19845,14734,280,0.2575,5,17225,1650,0,0,2160,1790,30322,102,1,Kenya_SME
Hospitality,0.5,2,71194,24,25.05,18317,14375,435,0.2152,2,13390,7093,0,0,2938,654,52343,127,1,Kenya_SME
Agribusiness,4.3,1,478502,48,15.75,68956,14326,432,0.7922,3,7469,573,1,9023,854,1220,56403,118,1,Kenya_SME
Transport,7,14,64929,12,24.89,8639,7288,117,0.1564,6,19628,2257,0,0,914,514,36283,133,1,Kenya_SME
Transport,3.3,9,360555,24,28.02,142918,121486,95,0.15,3,5929,670,1,8417,1007,853,279668,1174,0,Kenya_SME
Transport,7.9,10,16128,60,21.26,26986,22491,75,0.1666,3,14584,6771,0,0,1034,1181,89462,371,0,Kenya_SME
Services,8.6,1,632508,18,17.85,28069,14727,198,0.4753,3,4155,1488,0,0,1054,5471,342586,161,0,Kenya_SME
Retail,3.8,2,143713,24,16.46,23606,10713,144,0.5461,0,689,4345,0,0,464,2340,45720,61,0,Kenya_SME
Wholesale,0.7,4,394128,24,17.38,113686,95477,52,0.1602,1,1734,3958,0,0,1557,1258,117970,391,0,Kenya_SME
Wholesale,2.1,6,1288373,24,10.81,86350,54018,186,0.3744,6,2160,3288,0,0,1969,1280,104998,207,0,Kenya_SME
Wholesale,7,1,174868,24,17.56,43665,38817,188,0.111,5,6154,2951,0,0,1026,651,133656,624,0,Kenya_SME
Agribusiness,5,21,2717687,12,19.11,271501,54300,156,0.8,1,1374,3939,0,0,1065,813,18952,19,0,Kenya_SME
Retail,4.5,10,218583,12,20.49,105707,85353,456,0.1925,1,2851,2260,0,0,1898,3367,409276,2124,0,Kenya_SME
Retail,4.2,5,104545,18,25.24,53574,13811,201,0.7422,3,8700,1832,1,3577,1833,1793,219844,488,0,Kenya_SME
Agribusiness,17.1,5,1423588,48,22.96,117473,56385,290,0.52,3,5552,1143,0,0,1118,782,65800,257,0,Kenya_SME
Retail,5.6,3,478084,12,16.17,66233,46532,378,0.2975,7,3196,815,1,2635,1288,527,136130,390,0,Kenya_SME
Agribusiness,11.4,1,163986,6,19.46,62612,44505,206,0.2892,6,4532,2989,0,0,1540,658,41737,104,0,Kenya_SME
Retail,0.6,1,159564,12,19.85,202017,163550,177,0.1904,3,1250,5397,1,14502,3701,1979,296944,381,0,Kenya_SME
Agribusiness,1.3,8,400115,24,26.16,17249,13032,123,0.2445,6,3312,447,0,0,908,2039,69043,169,1,Kenya_SME
Informal,2.1,5,1033215,36,20.57,54358,36830,299,0.3224,2,4144,1480,1,859,3022,993,68546,109,0,Kenya_SME
Services,1.7,13,872735,60,12.06,107355,68399,139,0.3629,3,4008,625,1,3651,2230,3415,117414,449,0,Kenya_SME
Manufacturing,1.6,8,700384,12,9.08,126395,83593,542,0.3386,1,5305,1908,1,579,3614,1390,81212,316,0,Kenya_SME
Transport,4.2,3,1290127,6,22.73,23556,13776,166,0.4151,4,7264,586,0,0,858,1700,29914,70,0,Kenya_SME
Services,10.8,4,2315842,18,18.45,14635,2927,445,0.7999,5,4306,635,1,5860,1102,2436,141130,258,1,Kenya_SME
Retail,8.8,3,768456,48,17.14,145285,54614,965,0.6241,0,9064,398,1,715,3000,2415,289448,716,0,Kenya_SME
Services,3.7,2,1599303,12,17.32,324815,128423,246,0.6046,0,3596,1045,0,0,1568,860,119773,182,0,Kenya_SME
Agribusiness,9.5,1,678528,24,14.02,40475,21618,187,0.4659,1,2565,3591,0,0,1333,386,26733,51,0,Kenya_SME
Services,1.1,2,1979835,18,21.2,21352,15456,218,0.2761,5,6770,1842,0,0,1011,664,85644,260,0,Kenya_SME
Retail,1.2,3,55137,24,21.6,255230,245193,151,0.0393,4,2986,2750,1,19483,400,3325,33834,84,0,Kenya_SME
Services,1,9,479680,24,20.91,44490,24645,127,0.446,3,17625,2457,0,0,1367,1346,165303,263,0,Kenya_SME
Retail,3.8,7,500032,48,11.57,42208,36988,376,0.1237,7,4297,2376,0,0,1645,1014,78748,146,0,Kenya_SME
Agribusiness,4.6,1,138461,24,15.93,69805,50500,271,0.2766,3,4576,1501,0,0,3071,810,23583,166,0,Kenya_SME
Transport,0.5,8,635037,12,21.93,45670,9134,80,0.8,8,1904,1486,0,0,3875,1834,40312,49,1,Kenya_SME
Agribusiness,0.5,5,1468558,18,13.14,86999,48100,263,0.4471,2,19012,748,0,0,794,2601,101126,434,0,Kenya_SME
Manufacturing,2.4,8,504616,12,18.86,69610,18981,267,0.7273,1,8167,1036,0,0,1784,321,56378,116,0,Kenya_SME
Retail,0.5,7,590821,18,25.44,52420,43676,145,0.1668,1,6062,1339,0,0,2997,829,32885,116,0,Kenya_SME
Transport,7,1,135089,12,19.03,15120,12557,77,0.1695,5,6043,259,0,0,689,725,3688,8,0,Kenya_SME
Services,4.1,5,2921504,24,11.69,49846,15181,322,0.6954,0,10056,650,1,3503,468,767,356271,535,0,Kenya_SME
ICT,1.5,17,1429969,12,16.27,59134,54286,422,0.082,1,8129,1957,0,0,2497,436,585915,2152,0,Kenya_SME
Services,1.4,1,117749,6,18.82,118921,83132,304,0.3009,2,17184,678,1,1447,1033,377,27261,88,0,Kenya_SME
Informal,2.9,1,656888,18,15.24,22096,13221,234,0.4016,5,4943,1225,0,0,2696,966,30223,67,1,Kenya_SME
Agribusiness,0.5,1,997620,6,16.36,10061,7062,207,0.2981,3,84407,2463,0,0,1092,588,21496,142,1,Kenya_SME
Transport,7.4,2,104901,24,18.83,38629,26177,143,0.3223,6,14364,1186,0,0,455,454,49122,161,1,Kenya_SME
Manufacturing,1.4,1,543044,6,22.77,91202,80647,118,0.1157,5,15753,4832,0,0,1029,1567,22351,62,0,Kenya_SME
Manufacturing,1.1,2,858924,6,16.36,73455,63671,345,0.1332,4,2780,545,0,0,6053,1569,128973,789,0,Kenya_SME
Transport,1.6,5,299925,6,23.79,21304,15187,228,0.2871,8,3353,590,0,0,1797,1116,26471,37,0,Kenya_SME
Construction,6.3,9,296849,18,21.75,106509,90747,302,0.148,3,5236,2126,0,0,1850,3452,332727,1671,1,Kenya_SME
Transport,0.5,1,437790,24,14.03,50108,26265,220,0.4758,1,3922,907,0,0,778,900,112283,219,0,Kenya_SME
Agribusiness,0.6,3,763917,12,18.58,192220,83615,147,0.565,4,10620,1028,1,3746,1482,1609,98087,408,0,Kenya_SME
Services,4,3,72327,36,16.52,128778,82627,95,0.3584,5,8052,1093,0,0,2192,2256,135549,234,0,Kenya_SME
Agribusiness,2,4,540598,12,16.18,38646,33300,424,0.1383,1,1442,2323,0,0,1229,1316,224510,156,0,Kenya_SME
Wholesale,0.5,8,1638711,18,22.02,21653,8454,375,0.6095,5,3687,750,1,1044,5933,904,129789,434,1,Kenya_SME
Manufacturing,11,8,795950,12,21.88,3575,2046,82,0.4277,3,2126,3850,1,3070,586,944,75758,285,1,Kenya_SME
Agribusiness,6.2,9,399778,36,21.77,31031,26623,133,0.1421,5,5402,2214,1,576,2411,332,49310,135,1,Kenya_SME
Retail,30.5,5,1029801,18,18.33,26137,21520,73,0.1766,4,1239,1184,1,3391,2095,1253,122242,187,0,Kenya_SME
Construction,4.9,2,1285963,12,21.17,116819,56789,163,0.5139,4,4775,343,0,0,1999,1141,97719,91,1,Kenya_SME
Retail,10.1,3,479578,18,22.78,52827,28689,1874,0.4569,1,3858,840,0,0,4089,983,171010,485,0,Kenya_SME
Agribusiness,5.4,7,152008,48,19.23,35547,22034,149,0.3801,3,6137,4752,0,0,1753,1127,159066,351,0,Kenya_SME
Retail,2.4,3,247738,18,9.01,135175,84859,622,0.3722,0,3107,3105,0,0,716,1440,247770,806,0,Kenya_SME
Services,19,1,92791,6,29.66,24509,21643,296,0.1169,4,2201,2022,0,0,2551,1343,30201,81,1,Kenya_SME
Retail,13.2,7,120711,12,15.62,172282,106453,246,0.3821,5,28920,1804,1,20111,1358,774,241454,351,1,Kenya_SME
Transport,0.5,8,246465,12,17.54,7364,2589,165,0.6484,9,11655,1219,0,0,1822,2393,44271,172,1,Kenya_SME
Agribusiness,3.6,4,150221,24,19.97,96594,80873,303,0.1628,4,8218,701,1,5230,1930,1049,77796,139,0,Kenya_SME
Retail,0.7,8,2882631,12,18.88,16384,8244,173,0.4968,3,8350,3772,0,0,2458,1895,129103,423,1,Kenya_SME
Agribusiness,3,2,614288,24,22.39,13113,9091,48,0.3067,4,1449,917,0,0,665,281,9605,60,1,Kenya_SME
Agribusiness,3.7,4,280378,36,24.81,30888,6178,230,0.8,2,15359,603,1,1096,885,660,93802,806,0,Kenya_SME
Wholesale,9.4,7,453017,18,14.52,82765,74582,301,0.0989,0,1400,1031,0,0,4901,668,133785,134,0,Kenya_SME
Agribusiness,5.5,1,490109,60,14.13,17087,10630,48,0.3779,2,19093,3211,0,0,1837,489,110801,167,1,Kenya_SME
Transport,4.5,8,892521,60,19.12,90824,58433,89,0.3566,3,4234,5335,0,0,879,992,118997,379,0,Kenya_SME
Manufacturing,9.8,4,805166,18,14.72,76818,48252,205,0.3719,3,4425,3460,1,482,945,735,50275,189,0,Kenya_SME
Retail,10.2,3,2177152,24,18.47,79456,33855,670,0.5739,3,4384,1512,1,2252,4811,1061,46126,109,0,Kenya_SME
Agribusiness,13.1,4,1349395,18,21.97,66695,42060,239,0.3694,2,5844,4181,0,0,1515,2112,133624,192,0,Kenya_SME
Services,3.6,8,92064,24,24.23,14096,12903,143,0.0847,14,5841,3706,0,0,663,956,7229,23,1,Kenya_SME
Manufacturing,4.2,1,325571,12,21.04,134634,60027,514,0.5541,1,3259,2323,1,1864,2343,740,123734,364,0,Kenya_SME
Services,9.3,1,541828,24,18.94,59165,36521,230,0.3827,5,2538,2562,0,0,821,1868,256263,377,0,Kenya_SME
ICT,3.7,10,922167,12,16.97,24499,21419,80,0.1257,3,7338,1234,1,4089,1702,927,25562,41,1,Kenya_SME
Retail,5.8,7,393740,12,18.75,121769,97836,132,0.1965,5,9151,3251,1,1912,3673,558,215277,432,1,Kenya_SME
Manufacturing,3.9,2,137571,24,19.46,121909,91697,55,0.2478,4,1578,2780,1,1054,614,1050,219380,320,0,Kenya_SME
Manufacturing,13.6,4,254326,12,26.42,107902,51440,295,0.5233,3,4785,3622,1,2470,1534,323,60068,120,0,Kenya_SME
Agribusiness,11.7,7,634526,12,15.49,24555,9835,100,0.5994,4,8374,1146,0,0,1986,1414,200877,805,0,Kenya_SME
Manufacturing,2,17,623994,12,27.66,29965,25000,29,0.1657,4,3986,297,0,0,1589,509,55861,49,1,Kenya_SME
Services,6.2,3,894967,18,14.38,265210,220321,146,0.1693,0,1753,2227,0,0,1978,2713,134747,449,0,Kenya_SME
Wholesale,5.4,13,566010,12,16.46,11755,10957,165,0.0678,4,1152,2783,0,0,2132,699,54748,315,1,Kenya_SME
Wholesale,1.3,7,565803,36,24.67,38901,26047,176,0.3304,4,3045,495,0,0,1502,1715,42020,92,0,Kenya_SME
Retail,5.7,2,2471195,18,12.16,101919,36967,353,0.6373,0,9945,3677,1,352,3178,1366,197828,647,0,Kenya_SME
Services,10.3,3,2451145,12,17.77,134329,36465,194,0.7285,1,2293,1663,1,14780,1986,1869,79923,106,0,Kenya_SME
Transport,1.6,13,109187,24,17.08,488150,180062,429,0.6311,3,6038,1939,0,0,3160,808,52100,227,1,Kenya_SME
Manufacturing,11.9,15,111578,24,16.88,35468,24109,207,0.3202,4,6966,604,0,0,2241,1204,63206,230,0,Kenya_SME
Wholesale,3.6,4,242014,12,22.7,39789,30503,73,0.2334,5,2666,500,0,0,2457,1020,10900,85,0,Kenya_SME
Wholesale,6.5,12,1286931,12,21.45,295838,219049,270,0.2596,4,6314,1043,1,4553,1075,948,42004,90,0,Kenya_SME
Services,1,6,185170,48,21.16,70201,40402,268,0.4245,1,12524,897,1,418,445,1222,29504,15,0,Kenya_SME
Retail,11.8,4,498667,24,23.52,36696,23603,404,0.3568,2,7279,2773,0,0,1675,843,45961,194,0,Kenya_SME
Wholesale,1.4,5,237012,24,17.53,18531,12246,378,0.3392,3,1076,2441,1,3713,2059,1384,94231,207,0,Kenya_SME
Services,1,1,178039,12,24.9,113742,66156,220,0.4184,4,3885,1075,0,0,1831,1618,22122,55,0,Kenya_SME
Retail,1.6,2,197390,6,22.04,11787,7271,235,0.3831,7,2428,2066,0,0,2212,1501,16959,53,1,Kenya_SME
Agribusiness,1,2,286167,24,15.82,37931,12896,372,0.66,3,914,3299,0,0,2296,826,98708,204,0,Kenya_SME
Retail,9.6,11,494475,12,16.77,133722,65814,268,0.5078,2,5856,1484,0,0,2968,1508,392951,399,0,Kenya_SME
Services,1.5,4,38564,6,19.2,43970,20638,98,0.5306,8,3703,200,0,0,1694,847,18223,21,0,Kenya_SME
Retail,1.4,3,115940,12,16.96,17063,7511,433,0.5597,3,1688,1357,1,1324,7218,2029,78984,183,0,Kenya_SME
Hospitality,6.6,11,521251,12,17.2,17895,6371,249,0.6439,3,13442,1880,1,1550,613,947,94546,158,1,Kenya_SME
Construction,1.6,1,950386,6,18.41,71777,55190,99,0.2311,5,10087,1888,0,0,792,1045,38324,126,0,Kenya_SME
Informal,3.2,1,333314,36,19.2,14419,11089,386,0.2309,3,4611,947,0,0,1300,816,250691,1071,0,Kenya_SME
Agribusiness,2.1,14,217969,12,10.94,210137,73735,669,0.6491,2,11888,1218,1,1822,1751,1161,130071,377,0,Kenya_SME
Services,2.9,8,827327,36,20.91,31086,6217,200,0.8,1,12653,5426,0,0,3945,1240,381920,301,0,Kenya_SME
Hospitality,13.1,1,43899,36,23.76,23646,13096,299,0.4461,3,38790,1176,1,49841,1249,1351,45338,86,0,Kenya_SME
Transport,6.8,5,901970,12,18.36,60541,31244,137,0.4839,2,2719,539,0,0,1723,1524,120041,527,0,Kenya_SME
Agribusiness,0.5,1,677221,12,20.98,65675,54297,76,0.1732,5,1292,5072,0,0,2443,760,91583,189,1,Kenya_SME
ICT,1.5,2,360687,24,21.72,30133,20977,117,0.3038,2,3690,1064,0,0,1607,1175,120035,339,0,Kenya_SME
Services,7.5,6,347295,12,14.76,116589,68704,347,0.4107,4,3879,1068,0,0,789,1746,62393,212,0,Kenya_SME
Transport,1.6,4,354241,12,21.22,101874,71814,265,0.2951,5,26653,4132,0,0,666,1101,98667,114,0,Kenya_SME
Informal,10.5,4,160209,12,15.47,85838,74986,621,0.1264,0,9216,2584,1,4104,2724,1003,80325,310,0,Kenya_SME
Informal,0.7,1,638353,24,18.21,41871,37691,297,0.0998,4,1332,725,0,0,1052,900,171546,1100,1,Kenya_SME
Services,1.3,12,174083,6,22.07,26066,20706,146,0.2056,4,2072,4876,0,0,1598,890,105055,197,0,Kenya_SME
Retail,4.1,6,911658,36,20.73,19154,17387,280,0.0922,3,1220,988,1,1104,1622,946,67503,294,0,Kenya_SME
Wholesale,0.5,1,192199,24,25.03,17758,8190,165,0.5388,5,4429,1299,0,0,1456,859,162225,343,0,Kenya_SME
Wholesale,4.4,5,1346892,24,13.92,117240,57467,229,0.5098,1,1445,942,0,0,2172,1060,146995,1035,0,Kenya_SME
Services,1.5,3,2136321,24,12.39,56440,25552,422,0.5473,3,10637,487,1,4390,3858,984,49090,64,0,Kenya_SME
Manufacturing,10,3,1436785,60,12.02,205516,177934,587,0.1342,0,2748,1796,0,0,5343,1462,161602,374,0,Kenya_SME
Wholesale,5.7,6,188879,6,14.5,169062,48848,363,0.7111,1,1655,1631,1,5709,2635,1211,187403,478,0,Kenya_SME
Services,5,19,1217684,12,16.67,23823,9462,115,0.6028,4,3767,452,1,1550,2673,978,11824,36,0,Kenya_SME
Construction,14.6,2,307425,18,19.04,52387,21390,252,0.5917,2,3746,504,1,2216,2473,680,218819,198,1,Kenya_SME
ICT,0.5,6,240821,24,17.95,7045,5750,173,0.1838,0,5068,925,0,0,2334,285,21789,30,0,Kenya_SME
Manufacturing,5.8,9,1222316,24,23.17,73982,48028,139,0.3508,3,6531,2311,0,0,2916,1056,309917,602,0,Kenya_SME
Services,5.4,6,140246,24,27.81,32811,21566,207,0.3427,3,5954,797,0,0,1954,761,62105,125,0,Kenya_SME
Services,9.5,9,1463545,48,18.37,25341,18705,650,0.2619,2,1817,581,0,0,1898,756,28105,36,1,Kenya_SME
Services,0.5,3,948026,12,25.12,102008,55875,134,0.4522,3,2757,11501,1,6449,6807,2598,39352,54,0,Kenya_SME
Retail,9.5,6,165921,24,16.18,44096,28922,299,0.3441,1,4867,2614,0,0,1976,549,87120,321,0,Kenya_SME
Transport,0.5,4,511357,18,20.25,46114,36474,224,0.209,2,4653,708,0,0,1362,1005,42218,332,1,Kenya_SME
Transport,4.2,1,244240,18,13.02,23908,9217,420,0.6145,1,10363,3023,1,1883,3438,2873,82502,174,0,Kenya_SME
